sku_id,brand_id,brand_name,is_own_brand,category,model_name,article_codes,barcodes,aliases,reference_images
HUTER_64_1_20_DY5000LX_DY6500LX,huter,Huter,true,АВР для бензогенератора,DY5000LX/DY6500LX,64/1/20,,Huter DY5000LX/DY6500LX|Huter 64/1/20|DY5000LX/DY6500LX|64/1/20,
HUTER_64_10_14_AVR_40I,huter,Huter,true,АВР для бензогенератора,АВР-40I,64/10/14,,Huter АВР-40I|Huter 64/10/14|АВР-40I|64/10/14,
RESANTA_64_1_82_AVR_40,resanta,Ресанта,true,АВР для бензогенератора,АВР-40,64/1/82,,Ресанта АВР-40|Ресанта 64/1/82|АВР-40|64/1/82,
HUTER_64_2_12_AVR_40D,huter,Huter,true,АВР для электрогенератора дизельного,АВР-40D,64/2/12,,Huter АВР-40D|Huter 64/2/12|АВР-40D|64/2/12,
VIHR_68_1_33_ASV_90_40I_S_INVERTORNYM_DVIGATELEM,vihr,Вихрь,true,Автоматическая насосная станция,АСВ-90/40И с инверторным двигателем,68/1/33,,Вихрь АСВ-90/40И с инверторным двигателем|Вихрь 68/1/33|АСВ-90/40И с инверторным двигателем|68/1/33,
RESANTA_77_1_11_ANS_2100CH_2,resanta,Ресанта,true,Автоматическая насосная станция,АНС-2100Ч/2,77/1/11,,Ресанта АНС-2100Ч/2|Ресанта 77/1/11|АНС-2100Ч/2|77/1/11,
RESANTA_77_1_10_ANS_5400I_S_INVERTORNYM_DVIGATELEM,resanta,Ресанта,true,Автоматическая насосная станция,АНС-5400И с инверторным двигателем,77/1/10,,Ресанта АНС-5400И с инверторным двигателем|Ресанта 77/1/10|АНС-5400И с инверторным двигателем|77/1/10,
RESANTA_77_1_15_ANS_5700N,resanta,Ресанта,true,Автоматическая насосная станция,АНС-5700Н,77/1/15,,Ресанта АНС-5700Н|Ресанта 77/1/15|АНС-5700Н|77/1/15,
RESANTA_77_1_14_ANS_5700P,resanta,Ресанта,true,Автоматическая насосная станция,АНС-5700П,77/1/14,,Ресанта АНС-5700П|Ресанта 77/1/14|АНС-5700П|77/1/14,
RESANTA_61_22_28_AZM_40A,resanta,Ресанта,true,Автоматический защитный модуль от повышенного/пониженного напряжения,АЗМ-40A,61/22/28,,Ресанта АЗМ-40A|Ресанта 61/22/28|АЗМ-40A|61/22/28,
RESANTA_61_22_30_AZM_40ARD,resanta,Ресанта,true,Автоматический защитный модуль от повышенного/пониженного напряжения,АЗМ-40АРД,61/22/30,,Ресанта АЗМ-40АРД|Ресанта 61/22/30|АЗМ-40АРД|61/22/30,
VIHR_73_12_2_1_SI_1,vihr,Вихрь,true,Автоматический многофункциональный стриппер,СИ-1,73/12/2/1,,Вихрь СИ-1|Вихрь 73/12/2/1|СИ-1|73/12/2/1,
VIHR_68_4_8_ARD_1,vihr,Вихрь,true,Автоматическое реле давления,АРД-1,68/4/8,,Вихрь АРД-1|Вихрь 68/4/8|АРД-1|68/4/8,
HUTER_70_8_26_W150_MF,huter,Huter,true,Автомобильная мойка-пылесос,W150-MF,70/8/26,,Huter W150-MF|Huter 70/8/26|W150-MF|70/8/26,
RESANTA_77_1_2_ANS_3600N,resanta,Ресанта,true,Автономная насосная станция,АНС-3600Н,77/1/2,,Ресанта АНС-3600Н|Ресанта 77/1/2|АНС-3600Н|77/1/2,
RESANTA_77_1_1_ANS_3600P,resanta,Ресанта,true,Автономная насосная станция,АНС-3600П,77/1/1,,Ресанта АНС-3600П|Ресанта 77/1/1|АНС-3600П|77/1/1,
RESANTA_77_1_3_ANS_3600CH,resanta,Ресанта,true,Автономная насосная станция,АНС-3600Ч,77/1/3,,Ресанта АНС-3600Ч|Ресанта 77/1/3|АНС-3600Ч|77/1/3,
RESANTA_77_1_5_ANS_4200N,resanta,Ресанта,true,Автономная насосная станция,АНС-4200Н,77/1/5,,Ресанта АНС-4200Н|Ресанта 77/1/5|АНС-4200Н|77/1/5,
RESANTA_77_1_8_ANS_4200N_50,resanta,Ресанта,true,Автономная насосная станция,АНС-4200Н/50,77/1/8,,Ресанта АНС-4200Н/50|Ресанта 77/1/8|АНС-4200Н/50|77/1/8,
RESANTA_77_1_4_ANS_4200P,resanta,Ресанта,true,Автономная насосная станция,АНС-4200П,77/1/4,,Ресанта АНС-4200П|Ресанта 77/1/4|АНС-4200П|77/1/4,
RESANTA_77_1_7_ANS_4200P_50,resanta,Ресанта,true,Автономная насосная станция,АНС-4200П/50,77/1/7,,Ресанта АНС-4200П/50|Ресанта 77/1/7|АНС-4200П/50|77/1/7,
RESANTA_77_1_6_ANS_4200CH,resanta,Ресанта,true,Автономная насосная станция,АНС-4200Ч,77/1/6,,Ресанта АНС-4200Ч|Ресанта 77/1/6|АНС-4200Ч|77/1/6,
VIHR_68_1_2_ASV_1200_24,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-1200/24,68/1/2,,Вихрь АСВ-1200/24|Вихрь 68/1/2|АСВ-1200/24|68/1/2,
VIHR_68_1_6_ASV_1200_24N,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-1200/24Н,68/1/6,,Вихрь АСВ-1200/24Н|Вихрь 68/1/6|АСВ-1200/24Н|68/1/6,
VIHR_68_1_9_ASV_1200_24CH,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-1200/24Ч,68/1/9,,Вихрь АСВ-1200/24Ч|Вихрь 68/1/9|АСВ-1200/24Ч|68/1/9,
VIHR_68_1_4_ASV_1200_50,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-1200/50,68/1/4,,Вихрь АСВ-1200/50|Вихрь 68/1/4|АСВ-1200/50|68/1/4,
VIHR_68_1_11_ASV_1200_50N,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-1200/50Н,68/1/11,,Вихрь АСВ-1200/50Н|Вихрь 68/1/11|АСВ-1200/50Н|68/1/11,
VIHR_68_1_60_ASV_1500_24,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-1500/24,68/1/60,,Вихрь АСВ-1500/24|Вихрь 68/1/60|АСВ-1500/24|68/1/60,
VIHR_68_1_61_ASV_1500_24N,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-1500/24Н,68/1/61,,Вихрь АСВ-1500/24Н|Вихрь 68/1/61|АСВ-1500/24Н|68/1/61,
VIHR_68_1_10_ASV_370_20CH,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-370/20Ч,68/1/10,,Вихрь АСВ-370/20Ч|Вихрь 68/1/10|АСВ-370/20Ч|68/1/10,
VIHR_68_1_8_ASV_370_2CH,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-370/2Ч,68/1/8,,Вихрь АСВ-370/2Ч|Вихрь 68/1/8|АСВ-370/2Ч|68/1/8,
VIHR_68_1_23_ASV_400_2CH,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-400/2Ч,68/1/23,,Вихрь АСВ-400/2Ч|Вихрь 68/1/23|АСВ-400/2Ч|68/1/23,
VIHR_68_1_20_ASV_45_30_CH_2,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-45/30 Ч-2,68/1/20,,Вихрь АСВ-45/30 Ч-2|Вихрь 68/1/20|АСВ-45/30 Ч-2|68/1/20,
VIHR_68_1_12_ASV_600_20,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-600/20,68/1/12,,Вихрь АСВ-600/20|Вихрь 68/1/12|АСВ-600/20|68/1/12,
VIHR_68_1_14_ASV_600_20N,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-600/20Н,68/1/14,,Вихрь АСВ-600/20Н|Вихрь 68/1/14|АСВ-600/20Н|68/1/14,
VIHR_900_68_1_18_ASV_650_20CH,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-650/20Ч,900/68/1/18,,Вихрь АСВ-650/20Ч|Вихрь 900/68/1/18|АСВ-650/20Ч|900/68/1/18,
VIHR_900_68_1_19_ASV_650_2CH,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-650/2Ч,900/68/1/19,,Вихрь АСВ-650/2Ч|Вихрь 900/68/1/19|АСВ-650/2Ч|900/68/1/19,
VIHR_68_1_17_ASV_70_40_N_20,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-70/40 Н-20,68/1/17,,Вихрь АСВ-70/40 Н-20|Вихрь 68/1/17|АСВ-70/40 Н-20|68/1/17,
VIHR_68_1_16_ASV_70_40_P_20,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-70/40 П-20,68/1/16,,Вихрь АСВ-70/40 П-20|Вихрь 68/1/16|АСВ-70/40 П-20|68/1/16,
VIHR_900_68_1_15_ASV_70_40_P_24,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-70/40 П-24,900/68/1/15,,Вихрь АСВ-70/40 П-24|Вихрь 900/68/1/15|АСВ-70/40 П-24|900/68/1/15,
VIHR_68_1_5_ASV_800_20,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-800/20,68/1/5,,Вихрь АСВ-800/20|Вихрь 68/1/5|АСВ-800/20|68/1/5,
VIHR_68_1_13_ASV_800_20CH,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-800/20Ч,68/1/13,,Вихрь АСВ-800/20Ч|Вихрь 68/1/13|АСВ-800/20Ч|68/1/13,
VIHR_68_1_1_ASV_800_24,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-800/24,68/1/1,,Вихрь АСВ-800/24|Вихрь 68/1/1|АСВ-800/24|68/1/1,
VIHR_68_1_7_ASV_800_24N,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-800/24Н,68/1/7,,Вихрь АСВ-800/24Н|Вихрь 68/1/7|АСВ-800/24Н|68/1/7,
VIHR_68_1_3_ASV_800_50,vihr,Вихрь,true,Автономная станция водоснабжения,АСВ-800/50,68/1/3,,Вихрь АСВ-800/50|Вихрь 68/1/3|АСВ-800/50|68/1/3,
RESANTA_63_5_9_TR_0_5_TDGC2_0_5,resanta,Ресанта,true,Автотрансформатор ЛАТР,"ТР/0,5 (TDGC2-0,5)",63/5/9,,"Ресанта ТР/0,5 (TDGC2-0,5)|Ресанта 63/5/9|ТР/0,5 (TDGC2-0,5)|63/5/9",
RESANTA_63_5_1_TR_1_TDGC2_1,resanta,Ресанта,true,Автотрансформатор ЛАТР,ТР/1 (TDGC2-1),63/5/1,,Ресанта ТР/1 (TDGC2-1)|Ресанта 63/5/1|ТР/1 (TDGC2-1)|63/5/1,
RESANTA_63_5_5_TR_10_TDGC2_10,resanta,Ресанта,true,Автотрансформатор ЛАТР,ТР/10 (TDGC2-10),63/5/5,,Ресанта ТР/10 (TDGC2-10)|Ресанта 63/5/5|ТР/10 (TDGC2-10)|63/5/5,
RESANTA_63_5_2_TR_2_TDGC2_2,resanta,Ресанта,true,Автотрансформатор ЛАТР,ТР/2 (TDGC2-2),63/5/2,,Ресанта ТР/2 (TDGC2-2)|Ресанта 63/5/2|ТР/2 (TDGC2-2)|63/5/2,
RESANTA_63_5_3_TR_3_TDGC2_3,resanta,Ресанта,true,Автотрансформатор ЛАТР,ТР/3 (TDGC2-3),63/5/3,,Ресанта ТР/3 (TDGC2-3)|Ресанта 63/5/3|ТР/3 (TDGC2-3)|63/5/3,
RESANTA_63_5_4_TR_5_TDGC2_5,resanta,Ресанта,true,Автотрансформатор ЛАТР,ТР/5 (TDGC2-5),63/5/4,,Ресанта ТР/5 (TDGC2-5)|Ресанта 63/5/4|ТР/5 (TDGC2-5)|63/5/4,
VIHR_900_71_8_69_DA_12L_2K,vihr,Вихрь,true,Адаптер АП12Л1 DCG для шуруповерта,ДА-12Л-2К,900/71/8/69,,Вихрь ДА-12Л-2К|Вихрь 900/71/8/69|ДА-12Л-2К|900/71/8/69,
RESANTA_71_8_77_DA_12_2L_DA_12_2LK,resanta,Ресанта,true,"Адаптер АП12Л1 DCG,TMG для шуруповертов","ДА-12-2Л, ДА-12-2ЛК",71/8/77,,"Ресанта ДА-12-2Л, ДА-12-2ЛК|Ресанта 71/8/77|ДА-12-2Л, ДА-12-2ЛК|71/8/77",
VIHR_71_8_54_DA_12L_2K,vihr,Вихрь,true,Адаптер АП12Л1 KP для шуруповерта,ДА-12Л-2К,71/8/54,,Вихрь ДА-12Л-2К|Вихрь 71/8/54|ДА-12Л-2К|71/8/54,
VIHR_900_71_8_70_DA_14_4L_2K,vihr,Вихрь,true,Адаптер АП14Л1 DCG для шуруповерта,"ДА-14,4Л-2К",900/71/8/70,,"Вихрь ДА-14,4Л-2К|Вихрь 900/71/8/70|ДА-14,4Л-2К|900/71/8/70",
RESANTA_71_8_78_DA_14_2L_DA_14_2LK,resanta,Ресанта,true,"Адаптер АП14Л1 DCG,TMG для шуруповертов","ДА-14-2Л, ДА-14-2ЛК",71/8/78,,"Ресанта ДА-14-2Л, ДА-14-2ЛК|Ресанта 71/8/78|ДА-14-2Л, ДА-14-2ЛК|71/8/78",
VIHR_71_8_55_DA_14_4L_2K,vihr,Вихрь,true,Адаптер АП14Л1 KP для шуруповерта,"ДА-14,4Л-2К",71/8/55,,"Вихрь ДА-14,4Л-2К|Вихрь 71/8/55|ДА-14,4Л-2К|71/8/55",
VIHR_900_71_8_27_DA_14_4_2_DA_14_4_2K,vihr,Вихрь,true,Адаптер АП14Н3 КР для шуруповертов,"ДА-14,4-2, ДА-14,4-2К",900/71/8/27,,"Вихрь ДА-14,4-2, ДА-14,4-2К|Вихрь 900/71/8/27|ДА-14,4-2, ДА-14,4-2К|900/71/8/27",
VIHR_900_71_8_71_DA_18L_2K,vihr,Вихрь,true,Адаптер АП18Л1 DCG для шуруповерта,ДА-18Л-2К,900/71/8/71,,Вихрь ДА-18Л-2К|Вихрь 900/71/8/71|ДА-18Л-2К|900/71/8/71,
RESANTA_71_8_79_DA_18_2LK,resanta,Ресанта,true,"Адаптер АП18Л1 DCG,TMG для шуруповерта",ДА-18-2ЛК,71/8/79,,Ресанта ДА-18-2ЛК|Ресанта 71/8/79|ДА-18-2ЛК|71/8/79,
VIHR_71_8_49_DA_18L_2K,vihr,Вихрь,true,Адаптер АП18Л1 KP для шуруповерта,ДА-18Л-2К,71/8/49,,Вихрь ДА-18Л-2К|Вихрь 71/8/49|ДА-18Л-2К|71/8/49,
VIHR_900_71_8_28_DA_18_2K,vihr,Вихрь,true,Адаптер АП18Н3 КР для шуруповерта,ДА-18-2к,900/71/8/28,,Вихрь ДА-18-2к|Вихрь 900/71/8/28|ДА-18-2к|900/71/8/28,
VIHR_900_71_8_72_DA_24L_2K_DA_24L_2K_U,vihr,Вихрь,true,Адаптер АП24Л1 DCG для шуруповертов,"ДА-24Л-2К, ДА-24Л-2К-У",900/71/8/72,,"Вихрь ДА-24Л-2К, ДА-24Л-2К-У|Вихрь 900/71/8/72|ДА-24Л-2К, ДА-24Л-2К-У|900/71/8/72",
VIHR_73_7_2_21_1_2_3_4,vihr,Вихрь,true,Адаптер переходник,1/2-3/4,73/7/2/21,,Вихрь 1/2-3/4|Вихрь 73/7/2/21|1/2-3/4|73/7/2/21,
